"195.18.83.194" "pool-68-236-143-240.alb.east.verizon.net"
"198.81.26.16" "99.159.76.217.arsystel.com"
"198.81.26.15" "dcha-aa-65-219-208-228.taconic.net"
"65.125.130.193" "69-39-7-239.mydurango.net"
"204.131.47.225" "ip68-1-97-23.pn.at.cox.net"
"68.1.97.23" "66-194-6-74.gen.twtelecom.net"
"24.31.230.183" "12-218-111-68.client.mchsi.com"
"80.185.212.140" "c-24-8-188-251.client.comcast.net"
"12.223.95.172" "rdu57-60-161.nc.rr.com"
"219.98.251.61" "ntkngw114225.kngw.nt.ftth.ppp.infoweb.ne.jp"
"24.126.45.111" "h-68-167-196-88.mclnva23.covad.net"
"64.136.27.229" "66-194-6-79.gen.twtelecom.net"
"216.240.93.167" "ca03-ch03-bl04.ca-sanfranc0.sa.earthlink.net"
"64.136.27.226" "hlfx42-142176092158.ns.sympatico.ca"
"67.39.37.39" "user-0c9han2.cable.mindspring.com"
"24.8.188.251" "CPE-138-217-28-106.vic.bigpond.net.au"
"64.173.148.34" "cache02.nyc.untd.com"
"66.212.4.128" "pcp01935643pcs.eastk01.tn.comcast.net"
"24.126.237.1" "cache-mtc-ae01.proxy.aol.com"
"24.197.114.201" "adsl-68-90-44-123.dsl.hstntx.swbell.net"
"209.226.144.46" "pm14-30.lima.da.wcoil.com"
"24.151.204.138" "cs662586-183.satx.rr.com"
"65.174.199.127" "1Cust88.tnt4.lnd9.gbr.da.uu.net"
"61.124.49.225" "msnbot64038.search.msn.com"
"68.201.71.59" "h-66-167-203-2.snvacaid.dynamic.covad.net"
"63.148.28.231" "bay-p1b-15.bayland.net"
"66.57.60.161" "dcha-aa1512.taconic.net"
"82.205.32.254" "h0040054c2c46.ne.client2.attbi.com"
"64.171.6.188" "ip68-2-227-155.ph.ph.cox.net"
"65.54.164.38" "dsc06-mil-fl-199-183-225-39.rasserver.net"
"213.240.5.184" "ACBC6489.ipt.aol.com"
"69.110.221.130" "ilm26-162-191.ec.rr.com"
"199.183.199.35" "adsl-3-13-9.aep.bellsouth.net"
"64.114.95.231" "cache4-cmbg.server.ntli.net"
"68.68.30.7" "tproxy1.NTCU.net"
"212.138.47.29" "adsl-1-166-57.clt.bellsouth.net"
"152.163.252.97" "ip148-28-231.comteck.com"
"128.9.216.169" "pcp02730331pcs.potshe01.pa.comcast.net"
"67.121.239.21" "corp4.duke-energy.com"
"165.121.27.101" "adsl-63-206-192-210.dsl.snfc21.pacbell.net"
"65.33.22.182" "qn-213-73-210-224.quicknet.nl"
"205.188.116.79" "adsl-67-39-37-39.dsl.milwwi.ameritech.net"
"67.9.138.70" "mail.najah.edu"
"68.98.90.28" "24-117-125-90.cpe.cableone.net"
"67.130.62.46" "c-24-6-54-56.client.comcast.net"
"66.52.193.55" "pcp05836672pcs.dallas01.ga.comcast.net"
"81.75.64.157" "adsl-133-163.swiftdsl.com.au"
"12.218.111.68" "S01060004e28e72ef.vc.shawcable.net"
"81.75.64.156" "adsl-215-106-215.bct.bellsouth.net"
"66.90.232.204" "c172094.adsl.hansenet.de"
"4.244.63.193" "CPE-138-130-205-117.qld.bigpond.net.au"
"205.188.116.67" "ip-66-218-240-199.cableaz.com"
"67.173.73.197" "c-24-126-45-111.we.client2.attbi.com"
"68.81.235.25" "user66-212-4-128.netcarrier.net"
"63.148.99.232" "24.107.133.232.charter-stl.com"
"64.168.100.182" "host81-154-138-242.range81-154.btcentralplus.com"
"24.4.126.89" "Maple.CS.UCLA.EDU"
"205.230.132.241" "ca-glendora-cuda2-c7a-a-7.arcdca.adelphia.net"
"213.39.172.94" "roc-66-66-133-102.rochester.rr.com"
"81.62.42.119" "adsl-209-204-141-231.sonic.net"
"12.110.9.30" "bc800.amedd.army.mil"
"68.175.132.157" "213.denver-04rh16rt.co.dial-access.att.net"
"80.182.12.211" "midsouth-24-151-204-138.westtn.chartertn.net"
"68.11.190.230" "ADijon-109-1-21-109.w81-249.abo.wanadoo.fr"
"4.239.183.236" "cpe-24-221-139-167.az.sprintbbd.net"
"68.167.196.88" "c-24-15-146-172.client.comcast.net"
"64.241.242.18" "c-67-173-73-197.client.comcast.net"
"24.117.125.90" "66-52-193-55.sttl.mdsg-pacwest.com"
"64.241.243.66" "bzq-203-110.red.bezeqint.net"
"195.158.192.164" "rrcs-se-24-173-158-172.biz.rr.com"
"192.138.54.196" "YahooBB220036240059.bbtec.net"
"195.92.168.179" "usma-cce.usma.army.mil"
"68.33.209.145" "blv-proxy-02.boeing.com"
"69.167.149.70" "webcacheB17a.cache.pol.co.uk"
"68.47.247.124" "91.white-plains-04rh16rt.ny.dial-access.att.net"
"12.76.47.91" "ras020.fretel.com"
"66.218.240.199" "ilm26-188-045.ec.rr.com"
"207.69.139.156" "p213.54.154.208.tisdip.tiscali.de"
"69.141.251.107" "119.42.62.81.cust.bluewin.ch"
"142.177.92.158" "pool-162-84-254-42.ny5030.east.verizon.net"
"195.186.236.246" "usr33.rkymtnhi.com"
"69.39.7.239" "cache-dtc-ad02.proxy.aol.com"
"212.238.146.75" "CPE-24-160-242-68.wi.rr.com"
"24.153.99.214" "cpe-069-134-239-124.nc.rr.com"
"220.36.240.59" "cvip-mod3-ppp54.cvip.net"
"68.67.110.4" "14.west-allis-06rh15-16rt.wi.dial-access.att.net"
"210.237.247.136" "addr-209-210-150-211.lv.keyoncom.net"
"68.41.39.33" "user-2637.l1.c1.dsl.pol.co.uk"
"68.215.106.215" "f105022.upc-f.chello.nl"
"64.219.65.237" "mailserver.hydro.mb.ca"
"68.32.71.239" "cache-dtc-ab03.proxy.aol.com"
